127.0.0.1 - - [21/Nov/2017:11:52:09 -0800] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:32:57 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:33:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:46:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:47:55 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:48:04 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:48:35 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:48:52 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:49:27 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:50:14 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:50:35 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:50:56 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:53:10 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:56:59 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:58:31 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:14:59:24 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:00:43 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:01:06 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:02:13 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:03:51 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:04:31 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:13:54 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:16:10 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:23:54 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:35:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:35:42 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:36:09 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:36:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:37:18 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:37:52 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:38:23 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:39:59 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:41:08 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:42:51 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:47:50 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:48:48 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:50:08 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:51:38 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
0:0:0:0:0:0:0:1 - - [21/Nov/2017:15:53:00 -0800] "GET /RestaurantMarketAnalysis/search?lat=34.022&lon=-118.288 HTTP/1.1" 200 30794
